timestamp;buyer;seller;symbol;currency;price;quantity
0;;;STRAWBERRIES;SEASHELLS;3957;10
0;;SUBMISSION;COCONUT;SEASHELLS;9883;19
0;SUBMISSION;;COCONUT_COUPON;SEASHELLS;575;15
0;SUBMISSION;;COCONUT_COUPON;SEASHELLS;575;21
0;SUBMISSION;;COCONUT_COUPON;SEASHELLS;575;2
100;;SUBMISSION;COCONUT;SEASHELLS;9885;20
100;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;1
100;SUBMISSION;;COCONUT_COUPON;SEASHELLS;576;1
100;SUBMISSION;;COCONUT_COUPON;SEASHELLS;576;20
100;SUBMISSION;;COCONUT_COUPON;SEASHELLS;576;18
200;;;COCONUT;SEASHELLS;9884;6
200;;SUBMISSION;COCONUT;SEASHELLS;9884;20
200;;;STRAWBERRIES;SEASHELLS;3957;5
200;;;ROSES;SEASHELLS;13713;1
200;SUBMISSION;;COCONUT_COUPON;SEASHELLS;576;26
200;SUBMISSION;;COCONUT_COUPON;SEASHELLS;576;15
300;SUBMISSION;;COCONUT_COUPON;SEASHELLS;578;13
300;;SUBMISSION;COCONUT;SEASHELLS;9886;21
300;;;CHOCOLATE;SEASHELLS;7835;6
300;SUBMISSION;;COCONUT_COUPON;SEASHELLS;578;27
300;SUBMISSION;;COCONUT_COUPON;SEASHELLS;578;1
400;SUBMISSION;;COCONUT_COUPON;SEASHELLS;577;18
400;;SUBMISSION;COCONUT;SEASHELLS;9884;18
400;;SUBMISSION;STARFRUIT;SEASHELLS;4911;1
500;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;6
500;;;COCONUT_COUPON;SEASHELLS;577;5
500;;;COCONUT_COUPON;SEASHELLS;577;14
500;;;CHOCOLATE;SEASHELLS;7831;5
500;;;COCONUT_COUPON;SEASHELLS;577;19
600;;;CHOCOLATE;SEASHELLS;7832;8
700;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;4
700;;;CHOCOLATE;SEASHELLS;7831;5
700;;SUBMISSION;ORCHIDS;SEASHELLS;1102;9
800;;;COCONUT;SEASHELLS;9885;1
900;;;COCONUT_COUPON;SEASHELLS;576;5
1000;SUBMISSION;;COCONUT_COUPON;SEASHELLS;577;16
1000;;SUBMISSION;COCONUT;SEASHELLS;9885;14
1000;;;STRAWBERRIES;SEASHELLS;3957;9
1000;SUBMISSION;;COCONUT_COUPON;SEASHELLS;577;2
1000;SUBMISSION;;COCONUT_COUPON;SEASHELLS;577;10
1100;SUBMISSION;;STARFRUIT;SEASHELLS;4910;3
1100;SUBMISSION;;AMETHYSTS;SEASHELLS;10000;3
1100;;SUBMISSION;COCONUT;SEASHELLS;9885;24
1100;SUBMISSION;;COCONUT_COUPON;SEASHELLS;577;29
1100;;;STARFRUIT;SEASHELLS;4907;1
1100;SUBMISSION;;COCONUT_COUPON;SEASHELLS;577;17
1100;SUBMISSION;;COCONUT_COUPON;SEASHELLS;577;2
1200;;;STARFRUIT;SEASHELLS;4907;1
1200;SUBMISSION;;AMETHYSTS;SEASHELLS;9999;6
1200;SUBMISSION;;COCONUT_COUPON;SEASHELLS;576;2
1200;;SUBMISSION;COCONUT;SEASHELLS;9884;18
1200;SUBMISSION;;COCONUT_COUPON;SEASHELLS;576;11
1200;SUBMISSION;;COCONUT_COUPON;SEASHELLS;576;22
1300;;;COCONUT_COUPON;SEASHELLS;574;15
1300;SUBMISSION;;COCONUT_COUPON;SEASHELLS;575;2
1300;;;COCONUT_COUPON;SEASHELLS;574;5
1300;;SUBMISSION;COCONUT;SEASHELLS;9884;15
1300;;;COCONUT_COUPON;SEASHELLS;574;8
1300;;;COCONUT_COUPON;SEASHELLS;574;0
1300;SUBMISSION;;COCONUT_COUPON;SEASHELLS;575;15
1300;SUBMISSION;;COCONUT_COUPON;SEASHELLS;575;14
1300;;SUBMISSION;ORCHIDS;SEASHELLS;1104;6
1300;;;STRAWBERRIES;SEASHELLS;3958;12
1400;;;STARFRUIT;SEASHELLS;4912;1
1400;SUBMISSION;;COCONUT_COUPON;SEASHELLS;576;29
1400;;SUBMISSION;COCONUT;SEASHELLS;9882;23
1400;SUBMISSION;;COCONUT_COUPON;SEASHELLS;576;2
1400;SUBMISSION;;COCONUT_COUPON;SEASHELLS;576;14
1500;SUBMISSION;;COCONUT_COUPON;SEASHELLS;576;20
1500;;;GIFT_BASKET;SEASHELLS;69125;5
1500;SUBMISSION;;COCONUT_COUPON;SEASHELLS;576;18
1500;SUBMISSION;;STARFRUIT;SEASHELLS;4907;4
1500;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;5
1500;;SUBMISSION;COCONUT;SEASHELLS;9883;19
1600;SUBMISSION;;COCONUT_COUPON;SEASHELLS;575;1
1600;SUBMISSION;;COCONUT_COUPON;SEASHELLS;575;20
1600;;;COCONUT;SEASHELLS;9882;6
1600;;SUBMISSION;COCONUT;SEASHELLS;9882;24
1600;SUBMISSION;;COCONUT_COUPON;SEASHELLS;575;27
1700;SUBMISSION;;STARFRUIT;SEASHELLS;4908;2
1700;;;GIFT_BASKET;SEASHELLS;69156;6
1700;SUBMISSION;;AMETHYSTS;SEASHELLS;9996;2
1700;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;6
1800;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
1900;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
1900;;;ROSES;SEASHELLS;13690;2
1900;;;CHOCOLATE;SEASHELLS;7831;7
2000;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
2000;;;ROSES;SEASHELLS;13686;6
2100;;;AMETHYSTS;SEASHELLS;9998;1
2300;;SUBMISSION;STARFRUIT;SEASHELLS;4912;15
2400;;SUBMISSION;STARFRUIT;SEASHELLS;4912;8
2500;;;COCONUT;SEASHELLS;9882;7
2600;;;COCONUT;SEASHELLS;9882;9
2700;;SUBMISSION;STARFRUIT;SEASHELLS;4911;5
3000;;SUBMISSION;AMETHYSTS;SEASHELLS;10003;7
3000;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
3200;;;STARFRUIT;SEASHELLS;4911;1
3300;;;CHOCOLATE;SEASHELLS;7831;5
3400;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
3600;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;3
3600;;;STARFRUIT;SEASHELLS;4910;1
3600;;;CHOCOLATE;SEASHELLS;7828;7
3600;;;STARFRUIT;SEASHELLS;4910;4
3800;;SUBMISSION;AMETHYSTS;SEASHELLS;10004;2
3800;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
3800;;;CHOCOLATE;SEASHELLS;7828;5
3800;;;STARFRUIT;SEASHELLS;4912;2
3900;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;1
4200;;;GIFT_BASKET;SEASHELLS;69121;2
4300;SUBMISSION;;STARFRUIT;SEASHELLS;4907;5
4400;SUBMISSION;;COCONUT_COUPON;SEASHELLS;574;15
4400;SUBMISSION;;COCONUT_COUPON;SEASHELLS;574;12
4400;;SUBMISSION;COCONUT;SEASHELLS;9880;13
4500;;;STARFRUIT;SEASHELLS;4906;1
4500;;SUBMISSION;STARFRUIT;SEASHELLS;4911;1
4500;SUBMISSION;;COCONUT_COUPON;SEASHELLS;574;1
4500;SUBMISSION;;COCONUT_COUPON;SEASHELLS;574;20
4500;;SUBMISSION;AMETHYSTS;SEASHELLS;10003;1
4500;;SUBMISSION;COCONUT;SEASHELLS;9881;25
4500;SUBMISSION;;COCONUT_COUPON;SEASHELLS;574;29
4500;;;STRAWBERRIES;SEASHELLS;3955;9
4600;SUBMISSION;;COCONUT_COUPON;SEASHELLS;574;20
4600;;SUBMISSION;COCONUT;SEASHELLS;9882;19
4600;SUBMISSION;;COCONUT_COUPON;SEASHELLS;574;14
4600;SUBMISSION;;COCONUT_COUPON;SEASHELLS;574;2
4700;;SUBMISSION;COCONUT;SEASHELLS;9883;8
4700;SUBMISSION;;COCONUT_COUPON;SEASHELLS;575;16
4800;;;CHOCOLATE;SEASHELLS;7827;8
4900;SUBMISSION;;AMETHYSTS;SEASHELLS;9996;11
5000;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;2
5000;;;AMETHYSTS;SEASHELLS;10002;1
5100;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;1
5300;;;COCONUT_COUPON;SEASHELLS;573;12
5300;;;STRAWBERRIES;SEASHELLS;3954;6
5400;;SUBMISSION;AMETHYSTS;SEASHELLS;10003;10
5400;;;ROSES;SEASHELLS;13689;4
5400;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
5500;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
5600;;SUBMISSION;STARFRUIT;SEASHELLS;4911;2
5600;;;STRAWBERRIES;SEASHELLS;3953;6
5600;;SUBMISSION;AMETHYSTS;SEASHELLS;10001;2
5700;;;STARFRUIT;SEASHELLS;4907;1
5700;;;ROSES;SEASHELLS;13692;5
5800;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;1
5900;;;COCONUT;SEASHELLS;9881;1
5900;;;STARFRUIT;SEASHELLS;4908;1
6100;;;CHOCOLATE;SEASHELLS;7830;5
6200;;;COCONUT;SEASHELLS;9881;8
6200;;;CHOCOLATE;SEASHELLS;7831;5
6300;;;GIFT_BASKET;SEASHELLS;69134;3
6400;SUBMISSION;;COCONUT_COUPON;SEASHELLS;566;3
6400;;;STRAWBERRIES;SEASHELLS;3952;4
6400;;;COCONUT_COUPON;SEASHELLS;565;15
6500;;;COCONUT;SEASHELLS;9876;10
6800;;;AMETHYSTS;SEASHELLS;10002;2
6800;;;STARFRUIT;SEASHELLS;4914;1
6800;;;AMETHYSTS;SEASHELLS;10002;1
6900;;;STARFRUIT;SEASHELLS;4909;1
7000;;;COCONUT;SEASHELLS;9872;9
7000;;;STRAWBERRIES;SEASHELLS;3951;3
7100;;;STRAWBERRIES;SEASHELLS;3951;6
7100;;;CHOCOLATE;SEASHELLS;7828;10
7200;;SUBMISSION;STARFRUIT;SEASHELLS;4914;1
7500;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
7600;SUBMISSION;;STARFRUIT;SEASHELLS;4912;15
7600;;SUBMISSION;STARFRUIT;SEASHELLS;4915;1
7700;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;2
7900;;SUBMISSION;STARFRUIT;SEASHELLS;4915;1
8100;;SUBMISSION;STARFRUIT;SEASHELLS;4914;1
8100;;SUBMISSION;AMETHYSTS;SEASHELLS;10004;1
8300;;;ROSES;SEASHELLS;13710;4
8300;;;COCONUT_COUPON;SEASHELLS;561;19
8300;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
8400;;;AMETHYSTS;SEASHELLS;9998;2
8400;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;1
8400;;;COCONUT;SEASHELLS;9871;8
8500;SUBMISSION;;COCONUT;SEASHELLS;9872;1
8600;;;ROSES;SEASHELLS;13718;1
8600;;SUBMISSION;COCONUT;SEASHELLS;9873;1
8700;;;AMETHYSTS;SEASHELLS;10002;1
8700;;SUBMISSION;STARFRUIT;SEASHELLS;4913;1
8800;SUBMISSION;;AMETHYSTS;SEASHELLS;9999;11
8900;SUBMISSION;;COCONUT;SEASHELLS;9872;1
9000;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;7
9400;;;STRAWBERRIES;SEASHELLS;3952;9
9400;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
9400;;;COCONUT;SEASHELLS;9869;9
9500;;;COCONUT_COUPON;SEASHELLS;561;9
9700;;SUBMISSION;STARFRUIT;SEASHELLS;4911;1
9700;;SUBMISSION;COCONUT;SEASHELLS;9871;1
9800;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
9800;;;CHOCOLATE;SEASHELLS;7833;6
9900;;SUBMISSION;STARFRUIT;SEASHELLS;4911;7
9900;;;CHOCOLATE;SEASHELLS;7833;7
9900;;;STARFRUIT;SEASHELLS;4906;3
9900;;;ROSES;SEASHELLS;13724;4
10000;;;STARFRUIT;SEASHELLS;4910;1
10000;SUBMISSION;;STARFRUIT;SEASHELLS;4907;5
10100;;;COCONUT_COUPON;SEASHELLS;562;5
10100;;;COCONUT_COUPON;SEASHELLS;562;12
10100;;SUBMISSION;AMETHYSTS;SEASHELLS;10004;8
10300;;;AMETHYSTS;SEASHELLS;9998;4
10300;;;ROSES;SEASHELLS;13723;10
10400;;SUBMISSION;STARFRUIT;SEASHELLS;4910;1
10400;;;ROSES;SEASHELLS;13722;1
10500;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
10500;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;4
10600;;SUBMISSION;STARFRUIT;SEASHELLS;4909;2
10600;;;STRAWBERRIES;SEASHELLS;3953;8
10600;SUBMISSION;;STARFRUIT;SEASHELLS;4906;15
10600;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
10700;SUBMISSION;;STARFRUIT;SEASHELLS;4906;14
10800;;;ROSES;SEASHELLS;13729;1
10900;;;COCONUT;SEASHELLS;9876;10
10900;;;COCONUT;SEASHELLS;9876;7
11100;;SUBMISSION;STARFRUIT;SEASHELLS;4910;1
11300;;;COCONUT_COUPON;SEASHELLS;566;14
11400;;SUBMISSION;ORCHIDS;SEASHELLS;1102;2
11500;;;ROSES;SEASHELLS;13724;2
11600;;;CHOCOLATE;SEASHELLS;7837;7
11600;;;ROSES;SEASHELLS;13726;5
11700;SUBMISSION;;STARFRUIT;SEASHELLS;4907;4
12100;;;CHOCOLATE;SEASHELLS;7837;8
12100;SUBMISSION;;STARFRUIT;SEASHELLS;4910;2
12500;;SUBMISSION;STARFRUIT;SEASHELLS;4911;1
12500;;SUBMISSION;AMETHYSTS;SEASHELLS;10003;1
